,Archivo,Original,Falso nulo,Calculada,Valor O,Valor C
122,14071-HUEJUQUILLA EL ALTO.txt,"['09/02/2009', '0', 'Nulo', '23.5', '0.5']","['09/02/2009', 'Nulo', 'Nulo', '23.5', '0.5']","['09/02/2009', '0.0', '4.0', '23.5', '0.5']",0,0.0
123,14072-IXTLAHUACAN DE LOS MEMBRILLOS.txt,"['17/03/2008', '0', '7.6', '29', '7']","['17/03/2008', '0', 'Nulo', '29', '7']","['17/03/2008', '0.0', '8.0', '29.0', '7.0']",7.6,8.0
124,14072-IXTLAHUACAN DE LOS MEMBRILLOS.txt,"['31/05/2010', '0', '5.5', '35', '10.5']","['31/05/2010', '0', 'Nulo', '35', '10.5']","['31/05/2010', '0.0', '8.4', '35.0', '10.5']",5.5,8.4
125,14072-IXTLAHUACAN DE LOS MEMBRILLOS.txt,"['15/07/2016', '0', '3.5', '27.5', '15.5']","['15/07/2016', 'Nulo', '3.5', '27.5', '15.5']","['15/07/2016', '1.6', '3.5', '27.5', '15.5']",0,1.6
126,14075-JAMAY.txt,"['30/03/2008', '0', '6.8', '32', '7.5']","['30/03/2008', '0', 'Nulo', '32', '7.5']","['30/03/2008', '0.0', '7.5', '32.0', '7.5']",6.8,7.5
127,14075-JAMAY.txt,"['25/03/2015', '0', '5.1', '27', '9']","['25/03/2015', '0', 'Nulo', '27', '9']","['25/03/2015', '0.0', '4.8', '27.0', '9.0']",5.1,4.8
128,14075-JAMAY.txt,"['30/12/2012', '0', '2.9', '26', '6']","['30/12/2012', '0', '2.9', '26', 'Nulo']","['30/12/2012', '0.0', '2.9', '26.0', '10.1']",6,10.1
129,14076-JESUS MARIA.txt,"['02/02/2016', '0', '7', '20', '4']","['02/02/2016', '0', 'Nulo', '20', '4']","['02/02/2016', '0.0', '4.7', '20.0', '4.0']",7,4.7
130,14076-JESUS MARIA.txt,"['03/05/2012', '0', '10.2', '30', '12']","['03/05/2012', '0', '10.2', 'Nulo', '12']","['03/05/2012', '0.0', '10.2', '34.6', '12.0']",30,34.6
131,14076-JESUS MARIA.txt,"['29/04/2009', '0', '4.5', '29', '11']","['29/04/2009', '0', '4.5', '29', 'Nulo']","['29/04/2009', '0.0', '4.5', '29.0', 'Nulo']",11,Nulo
132,14078-JUCHITLAN.txt,"['26/11/2013', '0', '2.5', '25', '11']","['26/11/2013', '0', '2.5', '25', 'Nulo']","['26/11/2013', '0.0', '2.5', '25.0', '11.6']",11,11.6
133,14078-JUCHITLAN.txt,"['02/11/2008', '0', '5.3', '28', '12']","['02/11/2008', 'Nulo', '5.3', '28', '12']","['02/11/2008', '0.0', '5.3', '28.0', '12.0']",0,0.0
134,14078-JUCHITLAN.txt,"['06/10/2010', '0', '7.6', '28', '12']","['06/10/2010', '0', 'Nulo', '28', '12']","['06/10/2010', '0.0', '3.7', '28.0', '12.0']",7.6,3.7
135,14080-YAHUALICA DE GONZALEZ GALLO.txt,"['16/06/2015', '0', '2.1', '28', '17']","['16/06/2015', 'Nulo', '2.1', '28', '17']","['16/06/2015', '0.0', '2.1', '28.0', '17.0']",0,0.0
136,14080-YAHUALICA DE GONZALEZ GALLO.txt,"['05/10/2010', '0', '4.3', '28', '6']","['05/10/2010', 'Nulo', '4.3', '28', '6']","['05/10/2010', '0.0', '4.3', '28.0', '6.0']",0,0.0
137,14080-YAHUALICA DE GONZALEZ GALLO.txt,"['07/12/2014', '0', '4.2', '32', '3.5']","['07/12/2014', '0', '4.2', 'Nulo', '3.5']","['07/12/2014', '0.0', '4.2', '26.0', '3.5']",32,26.0
138,14081-PUERTO VALLARTA.txt,"['16/07/2010', '0', '4', '33.5', '25']","['16/07/2010', 'Nulo', '4', '33.5', '25']","['16/07/2010', '1.1', '4.0', '33.5', '25.0']",0,1.1
139,14081-PUERTO VALLARTA.txt,"['16/08/2012', '0', '6', '33.5', '23']","['16/08/2012', '0', '6', '33.5', 'Nulo']","['16/08/2012', '0.0', '6.0', '33.5', '20.4']",23,20.4
140,14081-PUERTO VALLARTA.txt,"['13/08/2012', '3', '2', '31', '25']","['13/08/2012', '3', '2', 'Nulo', '25']","['13/08/2012', '3.0', '2.0', '29.7', '25.0']",31,29.7
141,14083-LAGOS DE MORENO.txt,"['16/06/2012', '0', '7.1', '32.9', '14.6']","['16/06/2012', '0', '7.1', '32.9', 'Nulo']","['16/06/2012', '0.0', '7.1', '32.9', '14.9']",14.6,14.9
142,14083-LAGOS DE MORENO.txt,"['14/05/2016', '0', '7.9', '32.8', '16.9']","['14/05/2016', '0', '7.9', '32.8', 'Nulo']","['14/05/2016', '0.0', '7.9', '32.8', '13.1']",16.9,13.1
143,14083-LAGOS DE MORENO.txt,"['14/07/2012', '3.6', '2.1', '22.5', '14']","['14/07/2012', 'Nulo', '2.1', '22.5', '14']","['14/07/2012', '1.1', '2.1', '22.5', '14.0']",3.6,1.1
144,14084-LAGOS DE MORENO.txt,"['11/03/2013', '0', '8.9', '27.5', '2.5']","['11/03/2013', '0', '8.9', 'Nulo', '2.5']","['11/03/2013', '0.0', '8.9', '29.6', '2.5']",27.5,29.6
145,14084-LAGOS DE MORENO.txt,"['06/01/2010', '0', '1.7', '21.5', '1.5']","['06/01/2010', '0', '1.7', 'Nulo', '1.5']","['06/01/2010', '0.0', '1.7', '20.9', '1.5']",21.5,20.9
146,14084-LAGOS DE MORENO.txt,"['23/06/2011', '6.3', '5.3', '26.5', '15']","['23/06/2011', '6.3', '5.3', 'Nulo', '15']","['23/06/2011', '6.3', '5.3', '30.9', '15.0']",26.5,30.9
147,14085-LA HUERTA.txt,"['17/01/2010', '0', '2.5', '21', '-2']","['17/01/2010', '0', '2.5', 'Nulo', '-2']","['17/01/2010', '0.0', '2.5', '32.4', '-2.0']",21,32.4
148,14085-LA HUERTA.txt,"['01/01/2010', '0', '2.3', '24.5', '7.5']","['01/01/2010', 'Nulo', '2.3', '24.5', '7.5']","['01/01/2010', '0.1', '2.3', '24.5', '7.5']",0,0.1
149,14085-LA HUERTA.txt,"['09/01/2010', '0', '2.5', '21.5', '5.5']","['09/01/2010', '0', 'Nulo', '21.5', '5.5']","['09/01/2010', '0.0', '3.4', '21.5', '5.5']",2.5,3.4
150,14086-LA MANZANILLA DE LA PAZ.txt,"['28/03/2015', '0', '6.1', '26', '7']","['28/03/2015', '0', '6.1', 'Nulo', '7']","['28/03/2015', '0.0', '6.1', '24.5', '7.0']",26,24.5
151,14086-LA MANZANILLA DE LA PAZ.txt,"['15/04/2015', '0', '5.3', '27.5', '8']","['15/04/2015', '0', 'Nulo', '27.5', '8']","['15/04/2015', '0.0', '7.4', '27.5', '8.0']",5.3,7.4
152,14086-LA MANZANILLA DE LA PAZ.txt,"['07/03/2013', '0', '4.8', '25.5', '4']","['07/03/2013', 'Nulo', '4.8', '25.5', '4']","['07/03/2013', '0.0', '4.8', '25.5', '4.0']",0,0.0
153,14087-TEPATITLAN DE MORELOS.txt,"['01/02/2009', '0', '5.4', '25', '4.5']","['01/02/2009', '0', 'Nulo', '25', '4.5']","['01/02/2009', '0.0', '4.5', '25.0', '4.5']",5.4,4.5
154,14087-TEPATITLAN DE MORELOS.txt,"['17/08/2015', '0', '5.5', '27', '14']","['17/08/2015', '0', 'Nulo', '27', '14']","['17/08/2015', '0.0', '5.0', '27.0', '14.0']",5.5,5.0
155,14087-TEPATITLAN DE MORELOS.txt,"['08/04/2010', '0', '7.6', '30', '11']","['08/04/2010', '0', 'Nulo', '30', '11']","['08/04/2010', '0.0', '6.4', '30.0', '11.0']",7.6,6.4
156,14089-TEUCHITLAN.txt,"['26/07/2012', '2', '4.7', '35', '17.5']","['26/07/2012', '2', 'Nulo', '35', '17.5']","['26/07/2012', '2.0', '2.9', '35.0', '17.5']",4.7,2.9
